1.01	Making vocal sounds	0	1	2	3	3	S	CM	K
1.02	Showing enjoyment when held, rocked, touched by caregiver	0	1	2	3	3	S	S	S
1.03	Looking at caregiver and making eye contact	0	1	2	3	3	S	S	S
1.04	Being awake more during the day than at night	1	1	2	3	3	I	A	A
1.05	Seeming happy to see or hear caregiver	1	1	2	3	3	S	S	S
1.06	Showing interest in crib toys (e.g., watches mobile)	2	1	2	3	3	E	CG	K
1.07	Turning over from side to tummy or side to back	2	1	2	3	3	I	M	A
1.08	Smiling, kicking, moving arms excitedly when sees caregiver	2	1	2	3	3	S	S, M	S
1.09	Reaching out for or batting at toys, repeating action with enjoyment	3	1	2	3	3	E	CG, M	K
1.1	Playing with hands and feet, touching and watching movements	3	1	2	3	3	E	CG	K
1.11	Turning towards the sound of caregiver’s voice	3	1	2	3	3	S	S	S
1.12	Maintaining sitting at least briefly	5	1	2	3	3	I	M	A
1.13	Raising arms to be picked up when caregiver reaches for child	5	1	2	3	3	S	CM	A
1.14	Sitting when placed in sitting	6	1	2	3	3	I	M	A
1.15	Moving up and down by bending knees when supported in standing	6	1	2	3	3	I	M	A
1.16	Calling out for caregivers (e.g., shouts, vocalizes)	7	1	2	3	3	S	CM, S	A
1.17	Waking up without crying immediately (calms self)	8	1	2	3	3	E	S	S
1.18	Standing and cruising around crib	10	1	2	3	3	I	M	A
1.19	Saying mama or dada when sees mama or dada	12	1	2	3	3	S	CM	S
1.2	Standing at least for several seconds without support	12	1	2	3	3	I	M	A
1.21	Playing with toys momentarily until caregiver comes (learning to cope)	18	1	2	3	3	E	S	S
1.22	Responding to caregiver’s greeting with a sign or word	18	1	2	3	3	S	CM	S
1.23	Leaving room to find caregiver	24	1	2	3	3	I	S	A
1.24	Going to get comforting item when upset (e.g., stuffed toy)	30	1	2	3	3	I	S	A
1.25	Following directions involving descriptions (e.g., get the big pillow; be quiet, sissy is still sleeping)	33	1	2	3	3	S	CG, CM	K
2.01	Opening mouth when caregiver gives bottle or breast for nursing	0	1	2	3	3	I	A	A
2.02	Sucking strongly enough when nursing or bottle feeding	0	1	2	3	3	I	A	A
2.03	Drinking appropriate amount from bottle or when nursing	0	1	2	3	3	I	A	A
2.04	Swallowing following a few sucks	0	1	2	3	3	I	A	A
2.05	Feeding on a fairly consistent schedule (e.g., every 3-4 hours)	3	1	2	3	3	I	A	A
2.06	Sitting in a high chair upright without slumping over	5	1	2	3	3	I	M	A
2.07	Remaining calm (at least briefly) while waiting for feeding when hungry	6	1	2	3	3	E	S	S
2.08	Holding own bottle (if bottle fed)	6	1	2	3	3	I	A	A
2.09	Beginning to eat solid food (e.g., baby cookie, cracker)	6	1	2	3	3	I	A	A
2.1	Raking foods with fingers to pick up and eat	7	1	2	3	3	I	A, M	A
2.11	Eating with little or no drooling (except for teething)	7	1	2	3	3	I	A	A
2.12	Feeding self with fingers (half or more of meal)	9	1	2	3	3	I	A	A
2.13	Chewing food (e.g., cracker, cookie)	9	1	2	3	3	I	A	A
2.14	Using thumb and forefinger to pick up small pieces of food	10	1	2	3	3	I	A, M	A
2.15	Following simple requests with clear gestures (e.g., eat more, drink juice)	12	1	2	3	3	S	CM	K
2.16	Following pointing by looking to person and object	12	1	2	3	3	S	CM	K
2.17	Drinking from a sippy cup by him- or herself	12	1	2	3	3	I	A	A
2.18	Bringing spoon to mouth, eating some of the food from it	12	1	2	3	3	I	A	A
2.19	Using pointing to communicate (e.g., as if to say “look” or “I want”)	12	1	2	3	3	S	CM	K
2.2	Understanding and saying “no” with meaning	13	1	2	3	3	S	CM	K
2.21	Using a spoon to eat sticky foods (e.g., mashed potatoes) (may include some spilling)	15	1	2	3	3	I	A	A
2.22	Indicating when hungry or thirsty with a sign or word	15	1	2	3	3	S	CM	A
2.23	Pointing and/or vocalizing clearly to indicate food preference	16	1	2	3	3	S	CM	A
2.24	Using a spoon independently for most of the meal	18	1	2	3	3	I	A	A
2.25	Drinking appropriate amount from open cup at one time (with each sip)	18	1	2	3	3	I	A	A
2.26	Staying seated for meal while he or she is eating with others	18	1	2	3	3	E	S	S
2.27	Using signs or words to ask for at least one specific food or drink	18	1	2	3	3	S	CM	A
2.28	Communicating “more” with signs or words	18	1	2	3	3	S	CM	A
2.29	Communicating “finished” with signs or words	18	1	2	3	3	S	CM	A
2.3	Putting an appropriate amount of food in mouth at a time	18	1	2	3	3	I	A	A
2.31	Climbing forward onto adult size chair or backing into a child size chair	18	1	2	3	3	I	M	A
2.32	Eating a variety of foods	23	1	2	3	3	I	A	A
2.33	Removing easy wrappers or peels before eating (e.g., sliced orange peel)	23	1	2	3	3	I	A	A
2.34	Waiting for food for a few minutes, without fussing	24	1	2	3	3	E	S	S
2.35	Handling fragile items carefully (e.g., drinking glass)	24	1	2	3	3	E	S, A	A
2.36	Using words to ask for help (e.g., when opening drink box)	24	1	2	3	3	S	CM	A
